"Participant","Age","Sex","Education","Nationality","Ethnicity","Date","Time","Duration","Break_Duration","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device","Device_OS","Illusion_Type","Block","Block_Order","Trial","Stimulus","Illusion_Strength","Illusion_Side","Illusion_Difference","Answer","Error","ISI","RT","Illusion_Difference_log","Illusion_Difference_sqrt","Illusion_Difference_cbrt","Illusion_Strength_log","Illusion_Strength_sqrt","Illusion_Strength_cbrt","Pyllusion"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Delboeuf",1,1,1,"Delboeuf_str-1.55_diff-1",-1.55,"-1",1,"arrowright",0,584,678,0.693147180559945,1,1,-0.936093359170335,-1.24498995979887,-1.15729452726294,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Delboeuf",1,1,2,"Delboeuf_str1.55_diff-1",1.55,"-1",1,"arrowleft",1,796,627,0.693147180559945,1,1,0.936093359170335,1.24498995979887,1.15729452726294,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Delboeuf",1,1,3,"Delboeuf_str1.55_diff1",1.55,"1",1,"arrowleft",0,953,1684,0.693147180559945,1,1,0.936093359170335,1.24498995979887,1.15729452726294,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Delboeuf",1,1,4,"Delboeuf_str0.0_diff-1",0,"-1",1,"arrowright",0,632,895,0.693147180559945,1,1,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Delboeuf",1,1,5,"Delboeuf_str-1.55_diff1",-1.55,"1",1,"arrowleft",0,800,791,0.693147180559945,1,1,-0.936093359170335,-1.24498995979887,-1.15729452726294,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Delboeuf",1,1,6,"Delboeuf_str0.0_diff1",0,"1",1,"arrowleft",0,708,497,0.693147180559945,1,1,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ebbinghaus",1,1,7,"Ebbinghaus_str0.0_diff-0.8",0,"-1",0.8,"arrowright",0,582,1009,0.587786664902119,0.894427190999916,0.9283,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ebbinghaus",1,1,8,"Ebbinghaus_str1.45_diff0.8",1.45,"1",0.8,"arrowleft",0,965,950,0.587786664902119,0.894427190999916,0.9283,0.896088024556635,1.20415945787923,1.13185119596295,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ebbinghaus",1,1,9,"Ebbinghaus_str-1.45_diff0.8",-1.45,"1",0.8,"arrowleft",0,509,1041,0.587786664902119,0.894427190999916,0.9283,-0.896088024556635,-1.20415945787923,-1.13185119596295,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ebbinghaus",1,1,10,"Ebbinghaus_str-1.45_diff-0.8",-1.45,"-1",0.8,"arrowright",0,685,630,0.587786664902119,0.894427190999916,0.9283,-0.896088024556635,-1.20415945787923,-1.13185119596295,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ebbinghaus",1,1,11,"Ebbinghaus_str1.45_diff-0.8",1.45,"-1",0.8,"arrowright",0,937,1933,0.587786664902119,0.894427190999916,0.9283,0.896088024556635,1.20415945787923,1.13185119596295,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ebbinghaus",1,1,12,"Ebbinghaus_str0.0_diff0.8",0,"1",0.8,"arrowleft",0,599,791,0.587786664902119,0.894427190999916,0.9283,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,13,"MullerLyer_str0.0_diff-0.6",0,"-1",0.6,"arrowdown",0,827,661,0.470003629245736,0.774596669241483,0.8434,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,14,"MullerLyer_str0.0_diff0.6",0,"1",0.6,"arrowup",0,899,550,0.470003629245736,0.774596669241483,0.8434,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,15,"MullerLyer_str35.0_diff-0.6",35,"-1",0.6,"arrowdown",0,784,1260,0.470003629245736,0.774596669241483,0.8434,3.58351893845611,5.91607978309962,3.27106631018859,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,16,"MullerLyer_str-35.0_diff-0.6",-35,"-1",0.6,"arrowdown",0,555,667,0.470003629245736,0.774596669241483,0.8434,-3.58351893845611,-5.91607978309962,-3.27106631018859,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,17,"MullerLyer_str35.0_diff0.6",35,"1",0.6,"arrowup",0,915,988,0.470003629245736,0.774596669241483,0.8434,3.58351893845611,5.91607978309962,3.27106631018859,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,18,"MullerLyer_str-35.0_diff0.6",-35,"1",0.6,"arrowup",0,805,530,0.470003629245736,0.774596669241483,0.8434,-3.58351893845611,-5.91607978309962,-3.27106631018859,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Poggendorff",1,1,19,"Poggendorff_str0.0_diff0.4",0,"1",0.4,"arrowup",0,925,1002,0.336472236621213,0.632455532033676,0.7368,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Poggendorff",1,1,20,"Poggendorff_str32.0_diff0.4",32,"1",0.4,"arrowup",0,656,2616,0.336472236621213,0.632455532033676,0.7368,3.49650756146648,5.65685424949238,3.1748021039364,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Poggendorff",1,1,21,"Poggendorff_str-32.0_diff-0.4",-32,"-1",0.4,"arrowup",1,926,931,0.336472236621213,0.632455532033676,0.7368,-3.49650756146648,-5.65685424949238,-3.1748021039364,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Poggendorff",1,1,22,"Poggendorff_str0.0_diff-0.4",0,"-1",0.4,"arrowdown",0,987,1030,0.336472236621213,0.632455532033676,0.7368,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Poggendorff",1,1,23,"Poggendorff_str32.0_diff-0.4",32,"-1",0.4,"arrowup",1,742,1373,0.336472236621213,0.632455532033676,0.7368,3.49650756146648,5.65685424949238,3.1748021039364,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Poggendorff",1,1,24,"Poggendorff_str-32.0_diff0.4",-32,"1",0.4,"arrowup",0,782,763,0.336472236621213,0.632455532033676,0.7368,-3.49650756146648,-5.65685424949238,-3.1748021039364,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ponzo",1,1,25,"Ponzo_str-18.0_diff0.6",-18,"1",0.6,"arrowup",0,644,697,0.470003629245736,0.774596669241483,0.8434,-2.94443897916644,-4.24264068711928,-2.6207413942089,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ponzo",1,1,26,"Ponzo_str18.0_diff0.6",18,"1",0.6,"arrowup",0,625,701,0.470003629245736,0.774596669241483,0.8434,2.94443897916644,4.24264068711929,2.6207413942089,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ponzo",1,1,27,"Ponzo_str0.0_diff-0.6",0,"-1",0.6,"arrowdown",0,689,574,0.470003629245736,0.774596669241483,0.8434,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ponzo",1,1,28,"Ponzo_str-18.0_diff-0.6",-18,"-1",0.6,"arrowdown",0,644,763,0.470003629245736,0.774596669241483,0.8434,-2.94443897916644,-4.24264068711928,-2.6207413942089,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ponzo",1,1,29,"Ponzo_str18.0_diff-0.6",18,"-1",0.6,"arrowdown",0,565,958,0.470003629245736,0.774596669241483,0.8434,2.94443897916644,4.24264068711929,2.6207413942089,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Ponzo",1,1,30,"Ponzo_str0.0_diff0.6",0,"1",0.6,"arrowup",0,612,473,0.470003629245736,0.774596669241483,0.8434,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Rod-Frame",1,1,31,"RodFrame_str0.0_diff12",0,"1",12,"arrowleft",0,654,845,2.56494935746154,3.46410161513775,2.2894,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Rod-Frame",1,1,32,"RodFrame_str10.0_diff-12",10,"-1",12,"arrowright",0,860,398,2.56494935746154,3.46410161513775,2.2894,2.39789527279837,3.16227766016838,2.15443469003188,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Rod-Frame",1,1,33,"RodFrame_str10.0_diff12",10,"1",12,"arrowleft",0,672,536,2.56494935746154,3.46410161513775,2.2894,2.39789527279837,3.16227766016838,2.15443469003188,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Rod-Frame",1,1,34,"RodFrame_str0.0_diff-12",0,"-1",12,"arrowright",0,868,365,2.56494935746154,3.46410161513775,2.2894,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Rod-Frame",1,1,35,"RodFrame_str-10.0_diff12",-10,"1",12,"arrowleft",0,919,412,2.56494935746154,3.46410161513775,2.2894,-2.39789527279837,-3.16227766016838,-2.15443469003188,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Rod-Frame",1,1,36,"RodFrame_str-10.0_diff-12",-10,"-1",12,"arrowright",0,641,405,2.56494935746154,3.46410161513775,2.2894,-2.39789527279837,-3.16227766016838,-2.15443469003188,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Vertical-Horizontal",1,1,37,"VerticalHorizontal_str47.5_diff0.4",47.5,"1",0.4,"arrowleft",0,531,724,0.336472236621213,0.632455532033676,0.7368,3.88156379794344,6.89202437604511,3.62157822172087,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Vertical-Horizontal",1,1,38,"VerticalHorizontal_str0.0_diff-0.4",0,"-1",0.4,"arrowright",0,723,402,0.336472236621213,0.632455532033676,0.7368,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Vertical-Horizontal",1,1,39,"VerticalHorizontal_str0.0_diff0.4",0,"1",0.4,"arrowleft",0,867,400,0.336472236621213,0.632455532033676,0.7368,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Vertical-Horizontal",1,1,40,"VerticalHorizontal_str47.5_diff-0.4",47.5,"-1",0.4,"arrowright",0,976,358,0.336472236621213,0.632455532033676,0.7368,3.88156379794344,6.89202437604511,3.62157822172087,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Vertical-Horizontal",1,1,41,"VerticalHorizontal_str-47.5_diff-0.4",-47.5,"-1",0.4,"arrowright",0,613,463,0.336472236621213,0.632455532033676,0.7368,-3.88156379794344,-6.89202437604511,-3.62157822172087,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Vertical-Horizontal",1,1,42,"VerticalHorizontal_str-47.5_diff0.4",-47.5,"1",0.4,"arrowleft",0,662,411,0.336472236621213,0.632455532033676,0.7368,-3.88156379794344,-6.89202437604511,-3.62157822172087,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","White",1,1,43,"White_str-12.5_diff-20",-12.5,"-1",20,"arrowright",0,644,831,3.04452243772342,4.47213595499958,2.7144,-2.60268968544438,-3.53553390593274,-2.32079441680639,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","White",1,1,44,"White_str0.0_diff-20",0,"-1",20,"arrowright",0,527,432,3.04452243772342,4.47213595499958,2.7144,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","White",1,1,45,"White_str12.5_diff20",12.5,"1",20,"arrowleft",0,568,437,3.04452243772342,4.47213595499958,2.7144,2.60268968544438,3.53553390593274,2.32079441680639,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","White",1,1,46,"White_str-12.5_diff20",-12.5,"1",20,"arrowleft",0,893,380,3.04452243772342,4.47213595499958,2.7144,-2.60268968544438,-3.53553390593274,-2.32079441680639,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","White",1,1,47,"White_str12.5_diff-20",12.5,"-1",20,"arrowright",0,575,564,3.04452243772342,4.47213595499958,2.7144,2.60268968544438,3.53553390593274,2.32079441680639,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","White",1,1,48,"White_str0.0_diff20",0,"1",20,"arrowleft",0,751,463,3.04452243772342,4.47213595499958,2.7144,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Zöllner",1,1,49,"Zollner_str55.0_diff6",55,"1",6,"arrowleft",0,541,526,1.94591014905531,2.44948974278318,1.8171,4.02535169073515,7.41619848709566,3.80295246076139,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Zöllner",1,1,50,"Zollner_str0.0_diff-6",0,"-1",6,"arrowright",0,746,469,1.94591014905531,2.44948974278318,1.8171,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Zöllner",1,1,51,"Zollner_str-55.0_diff-6",-55,"-1",6,"arrowright",0,545,603,1.94591014905531,2.44948974278318,1.8171,-4.02535169073515,-7.41619848709566,-3.80295246076139,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Zöllner",1,1,52,"Zollner_str55.0_diff-6",55,"-1",6,"arrowright",0,949,763,1.94591014905531,2.44948974278318,1.8171,4.02535169073515,7.41619848709566,3.80295246076139,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Zöllner",1,1,53,"Zollner_str-55.0_diff6",-55,"1",6,"arrowleft",0,750,704,1.94591014905531,2.44948974278318,1.8171,-4.02535169073515,-7.41619848709566,-3.80295246076139,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Zöllner",1,1,54,"Zollner_str0.0_diff6",0,"1",6,"arrowleft",0,751,1040,1.94591014905531,2.44948974278318,1.8171,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Contrast",1,1,55,"Contrast_str22.5_diff25",22.5,"1",25,"arrowup",0,980,518,3.25809653802148,5,2.924,3.15700042115011,4.74341649025257,2.82310808664309,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Contrast",1,1,56,"Contrast_str-22.5_diff25",-22.5,"1",25,"arrowup",0,815,997,3.25809653802148,5,2.924,-3.15700042115011,-4.74341649025257,-2.82310808664309,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Contrast",1,1,57,"Contrast_str0.0_diff-25",0,"-1",25,"arrowdown",0,719,578,3.25809653802148,5,2.924,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Contrast",1,1,58,"Contrast_str-22.5_diff-25",-22.5,"-1",25,"arrowdown",0,986,909,3.25809653802148,5,2.924,-3.15700042115011,-4.74341649025257,-2.82310808664309,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Contrast",1,1,59,"Contrast_str0.0_diff25",0,"1",25,"arrowup",0,656,563,3.25809653802148,5,2.924,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Contrast",1,1,60,"Contrast_str22.5_diff-25",22.5,"-1",25,"arrowdown",0,575,494,3.25809653802148,5,2.924,3.15700042115011,4.74341649025257,2.82310808664309,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,61,"MullerLyer_str-14.0_diff-0.1458",-14,"-1",0.14575,"arrowdown",0,763,538,0.136059444407096,0.381772183376421,0.5263,-2.70805020110221,-3.74165738677394,-2.41014226417523,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,62,"MullerLyer_str0.0_diff-0.2735",0,"-1",0.27349,"arrowdown",0,731,411,0.241761163031201,0.52296271377604,0.6491,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,63,"MullerLyer_str28.0_diff0.2735",28,"1",0.27349,"arrowdown",1,637,815,0.241761163031201,0.52296271377604,0.6491,3.36729582998647,5.29150262212918,3.03658897187566,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,64,"MullerLyer_str0.0_diff0.46",0,"1",0.46,"arrowup",0,892,533,0.378436435720245,0.678232998312527,0.7719,0,0,0,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,65,"MullerLyer_str14.0_diff0.46",14,"1",0.46,"arrowup",0,995,440,0.378436435720245,0.678232998312527,0.7719,2.70805020110221,3.74165738677394,2.41014226417523,"1.2"
"5c8fcb13dd3b360015b4dff6_dvbq9",30,"Male","Master","Portugal","Caucasian","05/08/2022","10:22:53",35.4983,0.168583333333333,"2195x1084",2.37938,61.28,"chrome","103.0.0","Desktop","Windows 10","Müller-Lyer",1,1,66,"MullerLyer_str0.0_diff0.2735",0,"1",0.27349,"arrowup",0,732,475,0.241761163031201,0.52296271377604,0.6491,0,0,0,"1.2"
